#SampleID,read after dec,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration
2CH04G,16336,REP,H6,Triatoma,sample,FALSE,Undetermined,field,Tlecticularia,L6,L4_6,male,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH04G,NA,25.551
2CH28G,26700,REP,B7,Triatoma,sample,N,N,field,Tlecticularia,L6,L4_6,male,NA,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH28G,NA,26.602
2CH39G,10986,REP,C7,Triatoma,sample,N,N,field,Tlecticularia,L5,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH39G,NA,8.87
2CH42G,14537,REP,F7,Triatoma,sample,N,N,field,Tlecticularia,L4,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,popped,2CH42G,NA,23.132
2CH18G,23918,REP,A7,Triatoma,sample,P,Tc2,field,Tlecticularia,L6,L4_6,male,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH18G,NA,25.947
2CH43G,18633,REP,G7,Triatoma,sample,N,N,field,Tlecticularia,L4,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,yellow_faeces,2CH43G,NA,28.531
2CH44G,28234,REP,H7,Triatoma,sample,N,N,field,Tlecticularia,L4,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH44G,NA,37.167
2CH06G,4240,REP,A8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH06G,NA,5.077
2CH07G,19757,REP,B8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH07G,NA,24.554
2CH30G,3807,REP,C8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH30G,NA,11.875
2CH41G,30448,REP,E7,Triatoma,sample,P,Tc1,field,Tlecticularia,L4,L4_6,NA,NA,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH41G,NA,63.088
2CH36G,7682,REP,D8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH36G,NA,19.44
2CH45G,16526,REP,E8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH45G,NA,14.831
2CH14A,2719,REP,G8,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH14A,NA,42.033
2CH35A,13139,REP,H8,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH35A,NA,35.779
