OTUs,Domain,Phylum,Class,Order,Family,Genus
OTU_4646,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae, D_5__Alysiellauncultured bacterium
OTU_1039,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae, D_5__Amaricoccusuncultured bacterium
OTU_1510,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae, D_5__Amaricoccusuncultured bacterium
OTU_985,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae, D_5__Aminobacteruncultured alpha proteobacterium
OTU_1078,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae, D_5__Aminobacteruncultured bacterium
OTU_267,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae, D_5__Aminobacteruncultured bacterium
OTU_343,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae, D_5__Amnibacteriumuncultured bacterium
OTU_914,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__AmycolatopsisAmycolatopsis orientalis DSM 46075
OTU_58,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__AmycolatopsisAmycolatopsis sp. 01-Gi-030
OTU_916,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__AmycolatopsisAmycolatopsis sp. fus135-1
OTU_114,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__Amycolatopsisuncultured Amycolatopsis sp.
OTU_607,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI, D_5__Anaerococcusuncultured bacterium
OTU_4778,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI, D_5__Anaerococcusuncultured bacterium
OTU_3671,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae, D_5__Anaerolineauncultured bacterium
OTU_4727,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae, D_5__Anaeromyxobacteruncultured bacterium
OTU_29,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI, D_5__Anaerosalibacteruncultured bacterium
OTU_1534,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae, D_5__Anaerosporaunidentified marine bacterioplankton
OTU_686,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae, D_5__Anaerosporobacteruncultured bacterium
OTU_4613,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae, D_5__Anaerostipesuncultured organism
OTU_4162,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured bacterium
OTU_2040,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured bacterium
OTU_4769,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured bacterium
OTU_3075,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured bacterium
OTU_3742,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured bacterium
OTU_4867,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured bacterium
OTU_3326,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured bacterium
OTU_4978,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured Clostridiales bacterium
OTU_733,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae, D_5__Anaerotruncusuncultured organism
OTU_3176,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII, D_5__Anaerovoraxbacterium enrichment culture clone DPF01
OTU_5111,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII, D_5__Anaerovoraxuncultured Anaerovorax sp.
OTU_128,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae, D_5__Anaplasmauncultured Anaplasma sp.
OTU_3331,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae, D_5__Aneurinibacillusuncultured bacterium
OTU_4201,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 2, D_5__Anoxynatronumuncultured bacterium
