OTUs,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_2189,Bacteria,TM6,uncultured bacterium,,,,
OTU_2297,Bacteria,TM6,uncultured bacterium,,,,
OTU_5633,Bacteria,TM6,uncultured bacterium,,,,
OTU_1859,Bacteria,TM6,uncultured Blastomonas sp.,,,,
OTU_5627,Bacteria,TM6,uncultured bacterium,,,,
OTU_3614,Bacteria,TM6,uncultured bacterium,,,,
OTU_1390,Bacteria,TM6,uncultured bacterium,,,,
OTU_3696,Bacteria,TM6,uncultured deep-sea bacterium,,,,
OTU_2696,Bacteria,TM6,uncultured bacterium,,,,
OTU_2220,Bacteria,TM6,uncultured bacterium,,,,
OTU_4668,Bacteria,TM6,uncultured bacterium,,,,
OTU_1190,Bacteria,TM6,uncultured candidate division TM6 bacterium,,,,
OTU_5195,Bacteria,TM6,uncultured bacterium,,,,
OTU_5056,Bacteria,TM6,uncultured candidate division TM6 bacterium,,,,
OTU_4744,Bacteria,TM6,uncultured bacterium,,,,
OTU_5376,Bacteria,TM6,uncultured candidate division TM6 bacterium,,,,
OTU_3158,Bacteria,TM6,uncultured bacterium,,,,
OTU_5238,Bacteria,TM6,uncultured bacterium,,,,
OTU_4628,Bacteria,TM6,uncultured bacterium,,,,
OTU_2180,Bacteria,TM6,uncultured bacterium,,,,
OTU_2879,Bacteria,TM6,uncultured bacterium,,,,
OTU_1183,Bacteria,TM6,uncultured candidate division TM6 bacterium,,,,
OTU_2154,Bacteria,TM6,uncultured bacterium,,,,
OTU_3454,Bacteria,TM6,uncultured bacterium,,,,
OTU_1141,Bacteria,TM6,uncultured bacterium,,,,
OTU_2979,Bacteria,TM6,uncultured bacterium,,,,
OTU_4952,Bacteria,TM6,uncultured bacterium,,,,
OTU_4636,Bacteria,TM6,uncultured bacterium,,,,
OTU_4419,Bacteria,TM6,uncultured bacterium,,,,
OTU_3603,Bacteria,TM6,uncultured bacterium,,,,
OTU_2934,Bacteria,TM6,uncultured bacterium,,,,
OTU_4532,Bacteria,TM6,uncultured bacterium,,,,
OTU_3759,Bacteria,TM6,uncultured bacterium,,,,
OTU_2878,Bacteria,TM6,uncultured bacterium,,,,
OTU_3354,Bacteria,TM6,uncultured bacterium,,,,
OTU_5173,Bacteria,TM6,uncultured bacterium,,,,
OTU_4782,Bacteria,TM6,Candidatus Babela massiliensis,,,,
OTU_3809,Bacteria,TM6,uncultured bacterium,,,,
OTU_4716,Bacteria,TM6,uncultured proteobacterium,,,,
OTU_5425,Bacteria,TM6,uncultured bacterium,,,,
OTU_4352,Bacteria,TM6,uncultured bacterium,,,,
OTU_4319,Bacteria,TM6,uncultured bacterium,,,,
OTU_1923,Bacteria,TM6,uncultured deep-sea bacterium,,,,
OTU_5528,Bacteria,TM6,uncultured bacterium,,,,
OTU_1809,Bacteria,TM6,uncultured bacterium,,,,
OTU_2745,Bacteria,TM6,uncultured bacterium,,,,
OTU_2858,Bacteria,TM6,uncultured bacterium,,,,
OTU_5532,Bacteria,TM6,uncultured bacterium,,,,
OTU_4798,Bacteria,TM6,uncultured bacterium,,,,
OTU_5000,Bacteria,TM6,uncultured bacterium,,,,
OTU_1835,Bacteria,TM6,uncultured candidate division TM6 bacterium,,,,
OTU_4499,Bacteria,TM6,uncultured candidate division TM6 bacterium,,,,
OTU_3319,Bacteria,TM6,uncultured bacterium,,,,
OTU_1449,Bacteria,TM6,uncultured bacterium,,,,
OTU_5470,Bacteria,TM6,uncultured soil bacterium,,,,
OTU_3719,Bacteria,TM6,uncultured bacterium,,,,
OTU_5239,Bacteria,TM6,uncultured soil bacterium,,,,
OTU_5619,Bacteria,Parcubacteria,uncultured bacterium,,,,
OTU_2975,Bacteria,Gracilibacteria,uncultured bacterium,,,,
OTU_2643,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,uncultured bacterium
